concurso,data,posicao,numero,valor,tipo_extracao
5000,2020-01-04,1,06863,,regular
5000,2020-01-04,2,35084,,regular
5000,2020-01-04,3,11427,,regular
5000,2020-01-04,4,53377,,regular
5000,2020-01-04,5,34937,,regular
5001,2020-01-07,1,14116,,regular
5001,2020-01-07,2,05000,,regular
5001,2020-01-07,3,49692,,regular
5001,2020-01-07,4,70281,,regular
5001,2020-01-07,5,73704,,regular
5002,2020-01-10,1,43541,,regular
5002,2020-01-10,2,44669,,regular
5002,2020-01-10,3,06802,,regular
5002,2020-01-10,4,20927,,regular
5002,2020-01-10,5,17702,,regular
5003,2020-01-13,1,44199,,regular
5003,2020-01-13,2,73526,,regular
5003,2020-01-13,3,43751,,regular
5003,2020-01-13,4,91971,,regular
5003,2020-01-13,5,32134,,regular
5004,2020-01-16,1,21466,,regular
5004,2020-01-16,2,00218,,regular
5004,2020-01-16,3,57183,,regular
5004,2020-01-16,4,11483,,regular
5004,2020-01-16,5,78328,,regular
5005,2020-01-19,1,49492,,regular
5005,2020-01-19,2,09158,,regular
5005,2020-01-19,3,00864,,regular
5005,2020-01-19,4,41347,,regular
5005,2020-01-19,5,95949,,regular
5006,2020-01-22,1,58762,,regular
5006,2020-01-22,2,13374,,regular
5006,2020-01-22,3,05752,,regular
5006,2020-01-22,4,12158,,regular
5006,2020-01-22,5,87443,,regular
5007,2020-01-25,1,18635,,regular
5007,2020-01-25,2,16547,,regular
5007,2020-01-25,3,02783,,regular
5007,2020-01-25,4,38247,,regular
5007,2020-01-25,5,56444,,regular
5008,2020-01-28,1,75157,,regular
5008,2020-01-28,2,62511,,regular
5008,2020-01-28,3,34776,,regular
5008,2020-01-28,4,61511,,regular
5008,2020-01-28,5,04816,,regular
5009,2020-01-31,1,39989,,regular
5009,2020-01-31,2,45018,,regular
5009,2020-01-31,3,68376,,regular
5009,2020-01-31,4,63302,,regular
5009,2020-01-31,5,27113,,regular
5010,2020-02-03,1,79810,,regular
5010,2020-02-03,2,83723,,regular
5010,2020-02-03,3,69084,,regular
5010,2020-02-03,4,74031,,regular
5010,2020-02-03,5,41322,,regular
5011,2020-02-06,1,01644,,regular
5011,2020-02-06,2,52197,,regular
5011,2020-02-06,3,84692,,regular
5011,2020-02-06,4,67207,,regular
5011,2020-02-06,5,56935,,regular
5012,2020-02-09,1,89762,,regular
5012,2020-02-09,2,70584,,regular
5012,2020-02-09,3,83670,,regular
5012,2020-02-09,4,87380,,regular
5012,2020-02-09,5,78185,,regular
5013,2020-02-12,1,63718,,regular
5013,2020-02-12,2,68237,,regular
5013,2020-02-12,3,87617,,regular
5013,2020-02-12,4,54984,,regular
5013,2020-02-12,5,49089,,regular
5014,2020-02-15,1,66855,,regular
5014,2020-02-15,2,04173,,regular
5014,2020-02-15,3,98850,,regular
5014,2020-02-15,4,84600,,regular
5014,2020-02-15,5,23784,,regular
5015,2020-02-18,1,95135,,regular
5015,2020-02-18,2,10827,,regular
5015,2020-02-18,3,63819,,regular
5015,2020-02-18,4,86255,,regular
5015,2020-02-18,5,34326,,regular
5016,2020-02-21,1,22298,,regular
5016,2020-02-21,2,43896,,regular
5016,2020-02-21,3,44160,,regular
5016,2020-02-21,4,72640,,regular
5016,2020-02-21,5,51274,,regular
5017,2020-02-24,1,09606,,regular
5017,2020-02-24,2,94779,,regular
5017,2020-02-24,3,59869,,regular
5017,2020-02-24,4,50810,,regular
5017,2020-02-24,5,75126,,regular
5018,2020-02-27,1,44054,,regular
5018,2020-02-27,2,02137,,regular
5018,2020-02-27,3,24780,,regular
5018,2020-02-27,4,76834,,regular
5018,2020-02-27,5,11554,,regular
5019,2020-03-01,1,82354,,regular
5019,2020-03-01,2,47646,,regular
5019,2020-03-01,3,01681,,regular
5019,2020-03-01,4,46126,,regular
5019,2020-03-01,5,30032,,regular
5020,2020-03-04,1,53178,,regular
5020,2020-03-04,2,69729,,regular
5020,2020-03-04,3,65668,,regular
5020,2020-03-04,4,94852,,regular
5020,2020-03-04,5,07828,,regular
5021,2020-03-07,1,83728,,regular
5021,2020-03-07,2,37709,,regular
5021,2020-03-07,3,64851,,regular
5021,2020-03-07,4,82574,,regular
5021,2020-03-07,5,94410,,regular
5022,2020-03-10,1,30588,,regular
5022,2020-03-10,2,71325,,regular
5022,2020-03-10,3,63414,,regular
5022,2020-03-10,4,23277,,regular
5022,2020-03-10,5,20153,,regular
5023,2020-03-13,1,70304,,regular
5023,2020-03-13,2,58261,,regular
