concurso,data,posicao,numero,valor,tipo_extracao
5900,2023-01-07,1,83810,,regular
5900,2023-01-07,2,14592,,regular
5900,2023-01-07,3,03278,,regular
5900,2023-01-07,4,97196,,regular
5900,2023-01-07,5,36048,,regular
5901,2023-01-11,1,32098,,regular
5901,2023-01-11,2,29256,,regular
5901,2023-01-11,3,18289,,regular
5901,2023-01-11,4,96530,,regular
5901,2023-01-11,5,13434,,regular
5902,2023-01-15,1,88696,,regular
5902,2023-01-15,2,97080,,regular
5902,2023-01-15,3,71482,,regular
5902,2023-01-15,4,11395,,regular
5902,2023-01-15,5,77397,,regular
5903,2023-01-19,1,55302,,regular
5903,2023-01-19,2,04165,,regular
5903,2023-01-19,3,03905,,regular
5903,2023-01-19,4,12280,,regular
5903,2023-01-19,5,28657,,regular
5904,2023-01-23,1,30495,,regular
5904,2023-01-23,2,66237,,regular
5904,2023-01-23,3,78907,,regular
5904,2023-01-23,4,03478,,regular
5904,2023-01-23,5,73563,,regular
5905,2023-01-27,1,26062,,regular
5905,2023-01-27,2,93850,,regular
5905,2023-01-27,3,85181,,regular
5905,2023-01-27,4,91924,,regular
5905,2023-01-27,5,71426,,regular
5906,2023-01-31,1,54987,,regular
5906,2023-01-31,2,28893,,regular
5906,2023-01-31,3,58878,,regular
5906,2023-01-31,4,77236,,regular
5906,2023-01-31,5,36463,,regular
5907,2023-02-04,1,00851,,regular
5907,2023-02-04,2,99458,,regular
5907,2023-02-04,3,20926,,regular
5907,2023-02-04,4,91506,,regular
5907,2023-02-04,5,55392,,regular
5908,2023-02-08,1,44597,,regular
5908,2023-02-08,2,36421,,regular
5908,2023-02-08,3,20379,,regular
5908,2023-02-08,4,28221,,regular
5908,2023-02-08,5,44118,,regular
5909,2023-02-12,1,13396,,regular
5909,2023-02-12,2,12156,,regular
5909,2023-02-12,3,49797,,regular
5909,2023-02-12,4,12676,,regular
5909,2023-02-12,5,47052,,regular
5910,2023-02-16,1,45082,,regular
5910,2023-02-16,2,79131,,regular
5910,2023-02-16,3,34671,,regular
5910,2023-02-16,4,05695,,regular
5910,2023-02-16,5,95647,,regular
5911,2023-02-20,1,60217,,regular
5911,2023-02-20,2,70284,,regular
5911,2023-02-20,3,16361,,regular
5911,2023-02-20,4,49615,,regular
5911,2023-02-20,5,10328,,regular
5912,2023-02-24,1,72357,,regular
5912,2023-02-24,2,38427,,regular
5912,2023-02-24,3,82397,,regular
5912,2023-02-24,4,81070,,regular
5912,2023-02-24,5,47400,,regular
5913,2023-02-28,1,75674,,regular
5913,2023-02-28,2,25203,,regular
5913,2023-02-28,3,92349,,regular
5913,2023-02-28,4,09116,,regular
5913,2023-02-28,5,06006,,regular
5914,2023-03-04,1,86673,,regular
5914,2023-03-04,2,29871,,regular
5914,2023-03-04,3,37930,,regular
5914,2023-03-04,4,10458,,regular
5914,2023-03-04,5,30512,,regular
5915,2023-03-08,1,13238,,regular
5915,2023-03-08,2,49823,,regular
5915,2023-03-08,3,36434,,regular
5915,2023-03-08,4,59429,,regular
5915,2023-03-08,5,83320,,regular
5916,2023-03-12,1,47819,,regular
5916,2023-03-12,2,21319,,regular
5916,2023-03-12,3,48520,,regular
5916,2023-03-12,4,46566,,regular
5916,2023-03-12,5,27460,,regular
5917,2023-03-16,1,87841,,regular
5917,2023-03-16,2,34993,,regular
5917,2023-03-16,3,91988,,regular
5917,2023-03-16,4,89593,,regular
5917,2023-03-16,5,84939,,regular
5918,2023-03-20,1,09358,,regular
5918,2023-03-20,2,79840,,regular
5918,2023-03-20,3,83227,,regular
5918,2023-03-20,4,22431,,regular
5918,2023-03-20,5,70010,,regular
5919,2023-03-24,1,95568,,regular
5919,2023-03-24,2,32087,,regular
5919,2023-03-24,3,21417,,regular
5919,2023-03-24,4,60589,,regular
5919,2023-03-24,5,49735,,regular
5920,2023-03-28,1,35382,,regular
5920,2023-03-28,2,83886,,regular
5920,2023-03-28,3,90198,,regular
5920,2023-03-28,4,73000,,regular
5920,2023-03-28,5,28785,,regular
5921,2023-04-01,1,89733,,regular
5921,2023-04-01,2,42504,,regular
5921,2023-04-01,3,07331,,regular
5921,2023-04-01,4,30021,,regular
5921,2023-04-01,5,04207,,regular
5922,2023-04-05,1,41347,,regular
5922,2023-04-05,2,52581,,regular
5922,2023-04-05,3,35093,,regular
5922,2023-04-05,4,08675,,regular
5922,2023-04-05,5,27653,,regular
5923,2023-04-09,1,74341,,regular
5923,2023-04-09,2,94098,,regular
5923,2023-04-09,3,41245,,regular
5923,2023-04-09,4,27869,,regular
5923,2023-04-09,5,85909,,regular
5924,2023-04-13,1,65435,,regular
5924,2023-04-13,2,51856,,regular
5924,2023-04-13,3,84259,,regular
5924,2023-04-13,4,60142,,regular
5924,2023-04-13,5,18726,,regular
5925,2023-04-17,1,34718,,regular
5925,2023-04-17,2,18301,,regular
5925,2023-04-17,3,32325,,regular
5925,2023-04-17,4,97647,,regular
5925,2023-04-17,5,73579,,regular
